,0,1,2,3,4,5,6,7,8,9
0,126.0,128.0,130.0,132.0,134.0,136.0,138.0,140.0,142.0,144.0
1,-87651.24829426387,-87634.59624464468,-87661.59715194668,-87634.55154115577,-87632.07049752123,-87651.15888728606,-87644.09573603819,-87639.62538714713,-87644.8333436052,-87636.65260513457
2,-93541.02236521512,-93522.31395510602,-93543.77162978312,-93516.43544631428,-93519.40822832684,-93540.01653671463,-93529.06418193152,-93533.93686222278,-93542.51993209362,-93515.5190247916
3,-85018.01163172862,-85340.27908328523,-85000.17493965328,-85245.06065190562,-85180.68762787433,-85014.43535261576,-85343.5424379757,-84987.68031450277,-85241.05968964811,-85193.09284604703
4,-93016.13635017113,-92999.46194880748,-93024.07121945277,-92998.03143716234,-92994.81278596078,-93016.1587019156,-93007.06154192229,-93007.62033553366,-93009.8555099792,-92998.18789937353
5,-91138.72392639208,-91116.99803078151,-91147.8657898743,-91114.56169063589,-91119.23320522705,-91142.09903980483,-91127.03396404196,-91137.02519381348,-91136.66756590219,-91117.71328660409
6,-93619.11936034195,-93577.74628135518,-93638.31950882907,-93569.83376381801,-93589.61505766095,-93609.44105499281,-93597.01348507566,-93611.34095327152,-93586.95520007076,-93598.846328121
7,-76687.18119706884,-76688.2540808027,-76714.38327007095,-76685.92949937934,-76681.70501967729,-76694.91490065037,-76696.03248787315,-76686.26477554617,-76719.56887478459,-76678.50872022018
8,-87518.36717347708,-87512.5557199187,-87522.18932177893,-87515.48379844235,-87501.42455117995,-87518.52363568827,-87521.09408630063,-87505.8054930932,-87525.11740030258,-87506.09606577111
9,-92301.08169330141,-92365.72293826616,-92337.60444374138,-92322.13703657831,-92362.28076962005,-92296.99132406608,-92363.17483939826,-92333.20115008368,-92315.31975451944,-92376.74234828263
10,-74671.74675127826,-74691.86332128804,-74685.69423981837,-74690.70103057635,-74676.64178331397,-74685.13544620699,-74706.30254820616,-74681.93914674988,-74690.14223696498,-74695.17137946741
11,-88013.25714746203,-88002.03657174547,-88009.30088869344,-88017.61573763083,-87983.50697559203,-88012.6760021062,-87995.95689725362,-88006.46221714762,-88017.526330653,-87996.76156005402
12,-82168.96887647735,-82148.51703030075,-82162.77744326323,-82183.2963446732,-82135.01657664974,-82185.21859469636,-82170.33233288913,-82171.04758871169,-82171.62873406753,-82141.65504475297
13,-91760.3035879497,-91735.8507795156,-91750.75939306729,-91758.78366932675,-91721.56801480867,-91761.57763738366,-91737.46010511639,-91751.31818667868,-91758.94013153794,-91730.12873293505
14,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
15,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
16,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
17,0.017,0.017,0.017,0.0175,0.0175,0.0175,0.0175,0.0175,0.018000000000000002,0.018000000000000002
18,0.988,0.988,0.988,0.989,0.989,0.989,0.989,0.989,0.99,0.99
19,0.1645,0.1645,0.1645,0.16625,0.16625,0.16625,0.16625,0.16625,0.166,0.166
20,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,72.0,0.0
23,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0
24,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,120.0,0.0
25,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2.5,0.0
26,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,24.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1639900878.1917307,1639900878.1917467,1639900878.1917596,1639900878.1917722,1639900878.1917849,1639900878.191797,1639900878.1918094,1639900878.1918218,1639900878.1918368,1639900878.1918492
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
