,0,1
0,62.0,64.0
1,-42531.99458503659,-42549.0936695449
2,-58877.22180810235,-58966.226454523385
3,-65187.23102655781,-65264.277489695254
4,-32538.26141813534,-32596.107732785673
5,-51171.25674143514,-51293.69959756132
6,-37429.404250312364,-37445.7880789981
7,-35467.65869470342,-35563.03358829422
8,-47852.603835177884,-47837.0917245259
9,-78195.4098576796,-78165.83849976522
10,-61496.28746465295,-61505.63049383528
11,-54001.613438321765,-54025.50745314449
12,-69843.70289369856,-69863.81946370834
13,-29375.66839166503,-29289.480065045365
14,-187500.02235174447,-187500.02235174447
15,-187500.02235174447,-187500.02235174447
16,-187500.02235174447,-187500.02235174447
17,0.1588203125,0.1588203125
18,0.7547890625,0.7547890625
19,0.6243828124999999,0.6243828124999999
20,192.0,192.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,1640509647.126902,1640509647.13373
31,0.0,0.0
