,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
10,-54285.92762779327,-54279.80324981252,-54280.31733993499,-54291.672026118285,-54276.294025933035,-54286.151145237825,-54278.77506956757,-54274.34942416542,-54285.14531673733,-54270.03553748555,-54284.49711614813,-54280.473802146174,-54274.57294160998,-54285.659406859806,-54269.0073572406,-54282.53016263607,-54277.545723622534,-54276.04815674403,-54290.97912204017,-54280.764374824095,-54290.71090110671,-54287.9169330498,-54284.40770917031,-54292.65550287432,-54275.84699104393,-54284.00537777012,-54278.50684863411,-54271.93543576425,-54284.89944754833,-54272.96361600919,-54280.272636446076,-54279.5126771346,-54275.06467998799,-54283.08895624745,-54268.98500549615,-54280.809078313,-54279.40091841232,-54272.91891252028,-54282.150182980324,-54272.449525886725,-54281.77020332459,-54275.77993581056,-54267.84506652893,-54282.2619417026,-54272.3601189089,-54281.45727890221,-54278.17157246728,-54274.684700332255,-54286.419366171285,-54269.78966829654,-54282.77603182507,-54282.35134868042,-54272.47187763118,-54285.368834181885,-54271.62251134188,-54279.49032539014,-54274.751755565616,-54270.79549679703,-54283.781860325566,-54274.260017187604
11,-56069.4850766045,-56063.53951257939,-56061.61726255623,-56070.937939994095,-56057.59394855428,-56068.52395159292,-56063.49480909047,-56059.91852997763,-56070.66971906063,-56056.78928575388,-56069.261559159946,-56064.67945154661,-56059.605605555254,-56069.23920741549,-56055.76110550894,-56068.546303337374,-56064.83591375779,-56063.13718117919,-56076.68233831911,-56066.467591103035,-56074.71538480704,-56070.11092544925,-56068.00986147045,-56075.92237900763,-56061.88548348969,-56070.647367316174,-56065.394707369174,-56059.65030904416,-56070.55796033835,-56060.49967533346,-56066.5346463364,-56065.01472771344,-56060.94671022257,-56067.54047483689,-56054.017669441426,-56063.76303002394,-56062.84660850127,-56058.26450088793,-56066.69110854759,-56057.795114254375,-56065.819390513825,-56060.56673056683,-56055.02349794192,-56067.495771347974,-56057.2810241319,-56066.71346029204,-56063.09247769028,-56061.17022766713,-56071.00499522746,-56054.06237293033,-56067.13814343669,-56066.95932948105,-56058.7338875215,-56069.730945793504,-56056.05167818686,-56065.841742258286,-56060.54437882238,-56058.1303904212,-56069.261559159946,-56059.270329388426
12,-50328.014830114225,-50326.31609753562,-50321.28695503318,-50332.9322138944,-50319.8787951325,-50328.12658883651,-50329.62415571501,-50320.37053351051,-50333.1780830834,-50319.498815476756,-50330.33941153758,-50328.41716151442,-50318.29182127617,-50332.216958071826,-50313.419140984915,-50323.18685331188,-50323.879757389994,-50319.05178058765,-50337.71548720783,-50330.85350166005,-50335.54736799567,-50337.111990107536,-50328.95360338135,-50338.67661221941,-50323.63388820099,-50324.885585890486,-50325.62319345751,-50314.55907995213,-50328.95360338135,-50319.85644338804,-50322.00221085575,-50327.2772225472,-50320.258774788235,-50333.64746971697,-50320.415236999426,-50325.24321380177,-50327.63485045849,-50317.06247533113,-50328.171292325416,-50322.33748702258,-50323.72329517881,-50323.745646923264,-50312.03333282869,-50327.4783882473,-50321.19754805536,-50327.97012662532,-50328.439513258876,-50320.81756839962,-50333.42395227242,-50316.9283648644,-50324.885585890486,-50329.847673159566,-50315.855481130544,-50330.16059758194,-50318.805911398646,-50321.7786934112,-50323.34331552307,-50313.1732717959,-50328.014830114225,-50320.549347466156
13,-49703.998828410964,-49701.24956384296,-49696.68980797408,-49707.709217990545,-49694.27581957291,-49702.72477897701,-49703.2835725884,-49695.86279342923,-49708.15625287966,-49695.751034706955,-49705.339933078285,-49702.99299991048,-49695.482813773495,-49706.90455519016,-49689.31373230383,-49699.23790684198,-49699.21555509753,-49694.476985273,-49712.11251164824,-49705.49639528947,-49711.50901454795,-49711.88899420369,-49704.80349121136,-49713.34185759328,-49699.036741141885,-49702.16598536563,-49700.28843883138,-49691.37009279372,-49703.48473828849,-49695.25929632894,-49697.650932985656,-49703.50709003295,-49697.427415541104,-49707.999790668466,-49695.70633121805,-49700.40019755366,-49702.85888944375,-49693.873488172714,-49702.99299991048,-49697.49447077447,-49699.64023824218,-49697.94150566358,-49690.856002671244,-49704.49056678898,-49697.06978762982,-49705.00465691146,-49703.68590398859,-49698.58970625278,-49708.87150870222,-49692.42062478312,-49701.24956384296,-49704.982305167,-49693.29234281687,-49706.47987204551,-49695.03577888439,-49698.74616846397,-49697.1815463521,-49690.47602301551,-49703.9317731776,-49696.55569750735
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.1291015625,0.1291015625,0.1291015625,0.12955078125,0.12955078125,0.12955078125,0.12955078125,0.12955078125,0.131775390625,0.131775390625,0.131775390625,0.131775390625,0.131775390625,0.131775390625,0.134,0.134,0.134,0.134,0.134,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.124,0.124,0.124,0.124,0.124,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.128,0.132,0.132,0.132,0.132,0.132,0.14,0.14,0.14,0.14,0.14,0.14400000000000002
18,0.7329921875000001,0.7329921875000001,0.7329921875000001,0.72749609375,0.72749609375,0.72749609375,0.72749609375,0.72749609375,0.722748046875,0.722748046875,0.722748046875,0.722748046875,0.722748046875,0.722748046875,0.724,0.724,0.724,0.724,0.724,0.726,0.726,0.726,0.726,0.726,0.724,0.724,0.724,0.724,0.724,0.72,0.72,0.72,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.714,0.714,0.714,0.714,0.714,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.718,0.724,0.724,0.724,0.724,0.724,0.722
19,0.60624609375,0.60624609375,0.60624609375,0.605123046875,0.605123046875,0.605123046875,0.605123046875,0.605123046875,0.6095615234375,0.6095615234375,0.6095615234375,0.6095615234375,0.6095615234375,0.6095615234375,0.61,0.61,0.61,0.61,0.61,0.606,0.606,0.606,0.606,0.606,0.618,0.618,0.618,0.618,0.618,0.62,0.62,0.62,0.62,0.62,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.618,0.616,0.616,0.616,0.616,0.616,0.618,0.618,0.618,0.618,0.618,0.62,0.62,0.62,0.62,0.62,0.618
