,0
0,64.0
1,-41906.36925773254
2,-57865.93948196644
3,-65964.60234696894
4,-32823.089697729316
5,-44699.823224523454
6,-35943.92966555711
7,-45004.81277761612
8,-43491.95730590312
9,-79480.18812897065
10,-60054.6222990301
11,-54855.964166636964
12,-68758.30218294886
13,-22845.38273160252
14,-187500.02235174447
15,-187500.02235174447
16,-187500.02235174447
17,0.074
18,0.792
19,0.596
20,192.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,1640509021.432926
31,0.0
